,dept,title,url,button,pdf_count,pdf_urls,ext_link_count,ext_links
1,,,https://www.cityofchicago.org/city/en.html,False,0,,11,https://neighborhoodopportunityfund.com/ | https://twitter.com/chicagosmayor | https://www.facebook.com/ChicagoMayorsOffice | https://www.instagram.com/chicagosmayor/ | http://www.youtube.com/user/cityofchicagotv | http://digital.cityofchicago.org/index.php/video-2/ | http://chicagoimagegallery.cityofchicago.org/ | http://digital.cityofchicago.org/ | https://soundcloud.com/chicagosmayor | http://mayorsphotogallery.cityofchicago.org/ | https://data.cityofchicago.org
2,fin,"Pay or Search for Parking, Red Light & Automated Speed Enforcement Tickets",https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration/svcs/pay_parking_and_red-lightticketson-line.html,True,0,,1,https://parkingtickets.cityofchicago.org/CPSWeb/web/EnterTickets.jsp
3,fin,Administrative Hearing Fine Payments,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/payment_processingdivision/svcs/QuickPay.html,True,1,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/PaymentProcessing/EZ_Pay_Station_Locations.pdf,1,https://webapps1.cityofchicago.org/ezpay/ah
4,fin,Business Taxes,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/svcs/pay_and_file_yourtaxesonline.html,True,0,,3,http://www.amlegal.com/library/il/chicago.shtml | https://webapps1.cityofchicago.org/TaxWeb/ | https://www.ezdecillinois.com
5,fin,View Automated Speed Enforcement Video,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration/svcs/view_automated_speedenforcementvideo.html,True,0,,1,https://www.violationinfo.com/Chicago/
6,fin,View Parking Ticket Photos,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration/svcs/view_parking_ticketpictures.html,True,0,,1,http://chicago.duncan-usa.com/ImageOnlySites/ChicagoImages
7,fin,View Red Light Video,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration/svcs/view_red-light_video.html,True,0,,2,HTTP://www.ChicagoPhotoCiteWeb.com/ | http://webapps1.cityofchicago.org/traffic/
8,fin,Apply for Voluntary Disclosure of Business Taxes,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/tax_division/svcs/apply_for_voluntarydisclosureofchicagobusinesstaxes.html,True,1,https://www.cityofchicago.org/content/dam/city/depts/rev/supp_info/TaxPublicationsandReports/SAMPLESTANDARDVOLUNTARYDISCLOSUREAGREEMENT.pdf,1,https://webapps1.cityofchicago.org/VoluntaryDiscAppWeb/pageflows/taxVoluntary/TaxVoluntaryController.jpf
9,fin,Citation Administration (Vehicle),https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration.html,False,0,,5,https://parkingtickets.cityofchicago.org/CPSWeb/web/EnterTickets.jsp | https://parkingtickets.cityofchicago.org/CPSWeb/emailnotification.do | https://erequest.cityofchicago.org/EHearingWeb/home.do | http://chicago.duncan-usa.com/ImageOnlySites/ChicagoImages | https://www.violationinfo.com/Chicago/
10,fin,Services,https://www.cityofchicago.org/content/city/en/depts/fin/provdrs/parking_and_redlightcitationadministration/svcs.html,False,0,,0,
