,dept,title,url,button,pdf_count,pdf_urls,ext_link_count,ext_links
1,,,https://www.cityofchicago.org/city/en.html,False,0,,11,https://neighborhoodopportunityfund.com/ | https://twitter.com/chicagosmayor | https://www.facebook.com/ChicagoMayorsOffice | https://www.instagram.com/chicagosmayor/ | http://www.youtube.com/user/cityofchicagotv | http://digital.cityofchicago.org/index.php/video-2/ | http://chicagoimagegallery.cityofchicago.org/ | http://digital.cityofchicago.org/ | https://soundcloud.com/chicagosmayor | http://mayorsphotogallery.cityofchicago.org/ | https://data.cityofchicago.org
2,dhr,Bid Job Opportunities,https://www.cityofchicago.org/content/city/en/depts/dhr/provdrs/emp/svcs/apply_for_bid_opportunities-forcityofchicagoemployeesandbargaini.html,True,2,https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/BID_-_Create_User_Name_Email_Profile_REQs_4-09.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Candidate_Experience__v14_3-10.pdf,2,https://chicago.taleo.net/careersection/103/jobsearch.ftl | https://www.google.com/maps/dir/121+N+LaSalle+St%2C+Chicago%2C+IL%2C+60602
3,bldgs,Buildings E-Permits,https://www.cityofchicago.org/content/city/en/depts/bldgs/provdrs/stand_plan/svcs/e-permits.html,True,0,,1,https://ipiweb.cityofchicago.org/DynamicPortal/Forms/Secure/Login.aspx
4,bacp,Business Licenses,https://www.cityofchicago.org/content/city/en/depts/bacp/provdrs/bus/svcs/apply_for_a_businesslicenseonline.html,True,0,,1,https://webapps1.cityofchicago.org/IRISWeb/login.jsp
5,other,Chicago Housing Authority (CHA) Housing,https://www.cityofchicago.org/content/city/en/depts/other/provdrs/cha/svcs/find_housing_information.html,False,0,,1,http://www.thecha.org/residents/public-housing/find-public-housing/
6,dhr,Internships and Volunteer Programs,https://www.cityofchicago.org/content/city/en/depts/dhr/provdrs/emp/svcs/internships.html,True,49,https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/FINAL_DRAFT_BAF_VOLUNTEER_INTERN_POSTING.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/FINAL_DRAFT_EAC_VOL_INTERN_POSTING.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/UNPAID_COMMUNITY_ENGAGEMENT_VOL_POSTING.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/UNPAID_DIGITAL_ANALYTICS_VOL_INTERN_POSTING.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/UNPAID_DIGITAL_VOL_INTERN_POSTING.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/UNPAID_PRESS_VOL_INTERN_POSTING.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/FINAL_DRAFT_POLICY_VOL_INTERN_POSTING.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/City_Treasurer_Unpaid_Internship_Posting_DRAFT.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Investigative_Internship_Description_Summary.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Legal_Internship_Description_Summary.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/general/PSI-Office_of_the_Chairman-COHR.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DCASE_Volunteer_Job_Posting_1-23-17.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DCASE_Volunteer_Application_Revised_1-2016.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DFSS_unpaid_posting_Contract_October_2014_Rev.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Family_Support_Serv_Human_Resources_Div.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Family_Support_Human_Service_Delivery.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Family_Support_Services_Policy_Advocacy_Upd_May.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Family__Support_Services_Senior_Services_PSI.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Family_Support_Youth_Services_Div.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/general/DFSS-Volunteer_Application.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DoITGIS_TECHNICAL_VOLUNTEER_Unpaid_2012.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DOiT_Innovation_and_Tech_Public_Admin_Intern.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Volunteer_Office_Intern.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Finance_Posting2.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Mayors_Office_International_Rel_Protocol_U_Intern.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Mayors_Office_Scheduling_Advance_UNPAID_Vol_Intern.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Mayors_Office_One_Good_Deed_Chicago_PI_Unpaid.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Press_Commun_unpaid_Vol_IntenPosting.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Mayors_Office_PHOTOGRAPHY_Vol_Intern_Unpaid.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Mayors_Office_Scheduling_Advance_UNPAID_Vol_Intern.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Mayors_Office_Sustainability_Volunteer_Unpaid.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Mayors_Office_Washington_DC_Office_PSI_Unpaid.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/CityofChicago_DCPolicyAssociateJobDescription.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Database_Developer_Intern.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Web_Developer_Intern.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Construction_and_Compliance_Division_Posting.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Finance_Internship_posting.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Internship_Posting_Historic_Preserv_Designations.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/general/DPD-PSI_Historic_Perservation_Division_Posting.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DPD-PSI_Historic_Perservation_Division_2.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DPD-PSI_Multi-Family_Finance_and_Housing_Pres.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DPD-PSI_Real_Estate.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/TIF_Admin.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DPD-PSI_Workforce_Solutions_Division.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/CDPH-Volunteer_Posting-MICAH_Bureau_Fall_2018.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Public_Health_Public_Service_Intern_Up.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/CDPH-PSI-Office_of_Epidemiology_Posting.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/CDPH-Volunteer_Office_of_Epidemiology_Posting.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/CDPH-Public_Service_Intern_Posting_Policy_Office.pdf,2,https://chicago.taleo.net/careersection/100/jobsearch.ftl?lang=en | https://chicago.taleo.net/careersection/100/jobsearch.ftl?lang=en
7,dhr,Employment with the City of Chicago,https://www.cityofchicago.org/content/city/en/depts/dhr/provdrs/emp/svcs/city_of_chicago_jobopportunities.html,True,2,https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Candidate_Experience__v14_3-10.pdf | https://www.cityofchicago.org/content/dam/city/depts/dhr/general/Preparing_for_City_of_Chicago_Employment_Tests.pdf,1,https://chicago.taleo.net/careersection/100/jobsearch.ftl?lang=en
8,other,"Link Card, Food Stamps and Medical Assistance",https://www.cityofchicago.org/content/city/en/depts/other/provdrs/soi/svcs/apply_for_link_cardfoodstampsandmedicalassistance.html,True,0,,2,http://www.dhs.state.il.us/page.aspx?item=33698 | http://www.dhs.state.il.us/page.aspx?item=30371
9,other,Permit Parking Zone Lookup,https://www.cityofchicago.org/content/city/en/depts/other/provdrs/clerk/svcs/parking_permit_zonelookup.html,True,0,,1,https://webapps1.cityofchicago.org/ezbuy/geoWardLookup.do
10,cdph,WIC (Women Infant Children program),https://www.cityofchicago.org/content/city/en/depts/cdph/provdrs/health_promotion/svcs/apply_for_wic_.html,False,2,https://www.cityofchicago.org/content/dam/city/depts/cdph/tobacco_alchohol_and_drug_abuse/2016ChicagoOpioidReport.pdf | https://www.cityofchicago.org/content/dam/city/depts/cdph/clinic/general/WIC/ILWICGuidelines2012EngSpa.pdf,6,https://visitor.r20.constantcontact.com/manage/optin/ea?v=001jsw_pnV76tUmSNJOdEkYeA%253D%253D | http://www.cookcountyclerk.com/vitalrecords/Pages/default.aspx | https://servicerequest.cityofchicago.org/web_intake_chic/Controller | https://www.stopzikachicago.org/ | https://www.cdc.gov/breastfeeding/ | http://www.foodpyramid.com/
