,dept,title,url,button,i_want_to,nav,num_email_addresses,email_addresses,pdf_count,pdf_urls,ext_link_count,ext_links,outside_domain,description_words
1,,l,https://digital.cityofchicago.org/index.php/tag/basketball/,False,False,False,0,,0,,43,https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/feed/; https://twitter.com/chicagosmayor; http://facebook.com/chicagomayorsoffice; http://www.youtube.com/user/ChicagoMayorsOffice; https://plus.google.com/u/0/104762238087668104653/posts; http://digital.cityofchicago.org; http://digital.cityofchicago.org/index.php/video-2/; http://techplan.cityofchicago.org; https://%20; https://data.cityofchicago.org; https://opengrid.io; https://%20; http://servicetracker.cityofchicago.org/; http://digital.cityofchicago.org/index.php/city-accounts; https://digital.cityofchicago.org/index.php/lets-step-it-up-for-chicago/; https://digital.cityofchicago.org/index.php/lets-step-it-up-for-chicago/; https://digital.cityofchicago.org/index.php/lets-step-it-up-for-chicago/; https://digital.cityofchicago.org/index.php/windy-city-hoops/; https://digital.cityofchicago.org/index.php/windy-city-hoops/; https://digital.cityofchicago.org/index.php/windy-city-hoops/; https://twitter.com/ChicagosMayor; https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/wheelsenergytrash/; https://digital.cityofchicago.org/index.php/apps-android/; https://digital.cityofchicago.org/index.php/better-nrg/; https://digital.cityofchicago.org/index.php/built-it-bronzeville/; https://digital.cityofchicago.org/index.php/chicago-cleanweb-challenge/; https://digital.cityofchicago.org/index.php/city-accounts/; https://digital.cityofchicago.org/index.php/city-hall-in-your-community/; https://digital.cityofchicago.org/index.php/open-data-applications/; https://digital.cityofchicago.org/index.php/developer-resources/; https://digital.cityofchicago.org/index.php/gamify-energy/; https://digital.cityofchicago.org/index.php/hackathon-playoffs/; https://digital.cityofchicago.org/index.php/images/; https://digital.cityofchicago.org/index.php/apps-ios/; https://digital.cityofchicago.org/index.php/video-2/; https://digital.cityofchicago.org/index.php/planet-lab/; https://digital.cityofchicago.org/index.php/rack-up/; https://digital.cityofchicago.org/index.php/recycle-tracker/; https://digital.cityofchicago.org/index.php/the-broadband-challenge/; https://digital.cityofchicago.org/index.php/apps-web/; https://digital.cityofchicago.org/index.php/highlights-from-2018/,facebook.com; plus.google.com; opengrid.io; twitter.com; digital.cityofchicago.org; techplan.cityofchicago.org; data.cityofchicago.org; servicetracker.cityofchicago.org; youtube.com; %20,No text found
2,,,https://digital.cityofchicago.org/index.php/tag/campaign/,False,False,False,0,,0,,40,https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/feed/; https://twitter.com/chicagosmayor; http://facebook.com/chicagomayorsoffice; http://www.youtube.com/user/ChicagoMayorsOffice; https://plus.google.com/u/0/104762238087668104653/posts; http://digital.cityofchicago.org; http://digital.cityofchicago.org/index.php/video-2/; http://techplan.cityofchicago.org; https://%20; https://data.cityofchicago.org; https://opengrid.io; https://%20; http://servicetracker.cityofchicago.org/; http://digital.cityofchicago.org/index.php/city-accounts; https://digital.cityofchicago.org/index.php/lets-step-it-up-for-chicago/; https://digital.cityofchicago.org/index.php/lets-step-it-up-for-chicago/; https://digital.cityofchicago.org/index.php/lets-step-it-up-for-chicago/; https://twitter.com/ChicagosMayor; https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/wheelsenergytrash/; https://digital.cityofchicago.org/index.php/apps-android/; https://digital.cityofchicago.org/index.php/better-nrg/; https://digital.cityofchicago.org/index.php/built-it-bronzeville/; https://digital.cityofchicago.org/index.php/chicago-cleanweb-challenge/; https://digital.cityofchicago.org/index.php/city-accounts/; https://digital.cityofchicago.org/index.php/city-hall-in-your-community/; https://digital.cityofchicago.org/index.php/open-data-applications/; https://digital.cityofchicago.org/index.php/developer-resources/; https://digital.cityofchicago.org/index.php/gamify-energy/; https://digital.cityofchicago.org/index.php/hackathon-playoffs/; https://digital.cityofchicago.org/index.php/images/; https://digital.cityofchicago.org/index.php/apps-ios/; https://digital.cityofchicago.org/index.php/video-2/; https://digital.cityofchicago.org/index.php/planet-lab/; https://digital.cityofchicago.org/index.php/rack-up/; https://digital.cityofchicago.org/index.php/recycle-tracker/; https://digital.cityofchicago.org/index.php/the-broadband-challenge/; https://digital.cityofchicago.org/index.php/apps-web/; https://digital.cityofchicago.org/index.php/highlights-from-2018/,facebook.com; plus.google.com; opengrid.io; twitter.com; digital.cityofchicago.org; techplan.cityofchicago.org; data.cityofchicago.org; servicetracker.cityofchicago.org; youtube.com; %20,No text found
3,,,https://digital.cityofchicago.org/index.php/tag/chihoops/,False,False,False,0,,0,,40,https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/feed/; https://twitter.com/chicagosmayor; http://facebook.com/chicagomayorsoffice; http://www.youtube.com/user/ChicagoMayorsOffice; https://plus.google.com/u/0/104762238087668104653/posts; http://digital.cityofchicago.org; http://digital.cityofchicago.org/index.php/video-2/; http://techplan.cityofchicago.org; https://%20; https://data.cityofchicago.org; https://opengrid.io; https://%20; http://servicetracker.cityofchicago.org/; http://digital.cityofchicago.org/index.php/city-accounts; https://digital.cityofchicago.org/index.php/lets-step-it-up-for-chicago/; https://digital.cityofchicago.org/index.php/lets-step-it-up-for-chicago/; https://digital.cityofchicago.org/index.php/lets-step-it-up-for-chicago/; https://twitter.com/ChicagosMayor; https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/wheelsenergytrash/; https://digital.cityofchicago.org/index.php/apps-android/; https://digital.cityofchicago.org/index.php/better-nrg/; https://digital.cityofchicago.org/index.php/built-it-bronzeville/; https://digital.cityofchicago.org/index.php/chicago-cleanweb-challenge/; https://digital.cityofchicago.org/index.php/city-accounts/; https://digital.cityofchicago.org/index.php/city-hall-in-your-community/; https://digital.cityofchicago.org/index.php/open-data-applications/; https://digital.cityofchicago.org/index.php/developer-resources/; https://digital.cityofchicago.org/index.php/gamify-energy/; https://digital.cityofchicago.org/index.php/hackathon-playoffs/; https://digital.cityofchicago.org/index.php/images/; https://digital.cityofchicago.org/index.php/apps-ios/; https://digital.cityofchicago.org/index.php/video-2/; https://digital.cityofchicago.org/index.php/planet-lab/; https://digital.cityofchicago.org/index.php/rack-up/; https://digital.cityofchicago.org/index.php/recycle-tracker/; https://digital.cityofchicago.org/index.php/the-broadband-challenge/; https://digital.cityofchicago.org/index.php/apps-web/; https://digital.cityofchicago.org/index.php/highlights-from-2018/,facebook.com; plus.google.com; opengrid.io; twitter.com; digital.cityofchicago.org; techplan.cityofchicago.org; data.cityofchicago.org; servicetracker.cityofchicago.org; youtube.com; %20,No text found
4,,afety | Page: ,https://digital.cityofchicago.org/index.php/tag/public-safety/page/2/,False,False,False,0,,0,,69,https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/feed/; https://twitter.com/chicagosmayor; http://facebook.com/chicagomayorsoffice; http://www.youtube.com/user/ChicagoMayorsOffice; https://plus.google.com/u/0/104762238087668104653/posts; http://digital.cityofchicago.org; http://digital.cityofchicago.org/index.php/video-2/; http://techplan.cityofchicago.org; https://%20; https://data.cityofchicago.org; https://opengrid.io; https://%20; http://servicetracker.cityofchicago.org/; http://digital.cityofchicago.org/index.php/city-accounts; https://digital.cityofchicago.org/index.php/city-hall-week-2413-21013/; https://digital.cityofchicago.org/index.php/city-hall-week-2413-21013/; https://digital.cityofchicago.org/index.php/city-hall-week-2413-21013/; https://digital.cityofchicago.org/index.php/40374/; https://digital.cityofchicago.org/index.php/40374/; https://digital.cityofchicago.org/index.php/40374/; https://digital.cityofchicago.org/index.php/budget-roundtable/; https://digital.cityofchicago.org/index.php/budget-roundtable/; https://digital.cityofchicago.org/index.php/budget-roundtable/; https://digital.cityofchicago.org/index.php/2013-budget-roundtables/; https://digital.cityofchicago.org/index.php/2013-budget-roundtables/; https://digital.cityofchicago.org/index.php/2013-budget-roundtables/; https://digital.cityofchicago.org/index.php/cps-children-first-sites-stay-engaged-stay-safe/; https://digital.cityofchicago.org/index.php/cps-children-first-sites-stay-engaged-stay-safe/; https://digital.cityofchicago.org/index.php/cps-children-first-sites-stay-engaged-stay-safe/; https://digital.cityofchicago.org/index.php/bike-to-work-week-2012/; https://digital.cityofchicago.org/index.php/bike-to-work-week-2012/; https://digital.cityofchicago.org/index.php/bike-to-work-week-2012/; https://digital.cityofchicago.org/index.php/chicago-infrastructure-trust/; https://digital.cityofchicago.org/index.php/chicago-infrastructure-trust/; https://digital.cityofchicago.org/index.php/chicago-infrastructure-trust/; https://digital.cityofchicago.org/index.php/first_year/; https://digital.cityofchicago.org/index.php/first_year/; https://digital.cityofchicago.org/index.php/first_year/; https://digital.cityofchicago.org/index.php/askchicago-town-hall-year-one/; https://digital.cityofchicago.org/index.php/askchicago-town-hall-year-one/; https://digital.cityofchicago.org/index.php/askchicago-town-hall-year-one/; https://digital.cityofchicago.org/index.php/chicagos-single-largest-order-of-ford-interceptor-law-enforcement-vehicles/; https://digital.cityofchicago.org/index.php/chicagos-single-largest-order-of-ford-interceptor-law-enforcement-vehicles/; https://digital.cityofchicago.org/index.php/chicagos-single-largest-order-of-ford-interceptor-law-enforcement-vehicles/; https://digital.cityofchicago.org/index.php/tag/public-safety/page/3/; https://digital.cityofchicago.org/index.php/tag/public-safety/; https://twitter.com/ChicagosMayor; https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/wheelsenergytrash/; https://digital.cityofchicago.org/index.php/apps-android/; https://digital.cityofchicago.org/index.php/better-nrg/; https://digital.cityofchicago.org/index.php/built-it-bronzeville/; https://digital.cityofchicago.org/index.php/chicago-cleanweb-challenge/; https://digital.cityofchicago.org/index.php/city-accounts/; https://digital.cityofchicago.org/index.php/city-hall-in-your-community/; https://digital.cityofchicago.org/index.php/open-data-applications/; https://digital.cityofchicago.org/index.php/developer-resources/; https://digital.cityofchicago.org/index.php/gamify-energy/; https://digital.cityofchicago.org/index.php/hackathon-playoffs/; https://digital.cityofchicago.org/index.php/images/; https://digital.cityofchicago.org/index.php/apps-ios/; https://digital.cityofchicago.org/index.php/video-2/; https://digital.cityofchicago.org/index.php/planet-lab/; https://digital.cityofchicago.org/index.php/rack-up/; https://digital.cityofchicago.org/index.php/recycle-tracker/; https://digital.cityofchicago.org/index.php/the-broadband-challenge/; https://digital.cityofchicago.org/index.php/apps-web/; https://digital.cityofchicago.org/index.php/highlights-from-2018/,facebook.com; plus.google.com; opengrid.io; twitter.com; digital.cityofchicago.org; techplan.cityofchicago.org; data.cityofchicago.org; servicetracker.cityofchicago.org; youtube.com; %20,No text found
5,,,https://digital.cityofchicago.org/index.php/tag/access/,False,False,False,0,,0,,40,https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/feed/; https://twitter.com/chicagosmayor; http://facebook.com/chicagomayorsoffice; http://www.youtube.com/user/ChicagoMayorsOffice; https://plus.google.com/u/0/104762238087668104653/posts; http://digital.cityofchicago.org; http://digital.cityofchicago.org/index.php/video-2/; http://techplan.cityofchicago.org; https://%20; https://data.cityofchicago.org; https://opengrid.io; https://%20; http://servicetracker.cityofchicago.org/; http://digital.cityofchicago.org/index.php/city-accounts; https://digital.cityofchicago.org/index.php/everyone-on/; https://digital.cityofchicago.org/index.php/everyone-on/; https://digital.cityofchicago.org/index.php/everyone-on/; https://twitter.com/ChicagosMayor; https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/wheelsenergytrash/; https://digital.cityofchicago.org/index.php/apps-android/; https://digital.cityofchicago.org/index.php/better-nrg/; https://digital.cityofchicago.org/index.php/built-it-bronzeville/; https://digital.cityofchicago.org/index.php/chicago-cleanweb-challenge/; https://digital.cityofchicago.org/index.php/city-accounts/; https://digital.cityofchicago.org/index.php/city-hall-in-your-community/; https://digital.cityofchicago.org/index.php/open-data-applications/; https://digital.cityofchicago.org/index.php/developer-resources/; https://digital.cityofchicago.org/index.php/gamify-energy/; https://digital.cityofchicago.org/index.php/hackathon-playoffs/; https://digital.cityofchicago.org/index.php/images/; https://digital.cityofchicago.org/index.php/apps-ios/; https://digital.cityofchicago.org/index.php/video-2/; https://digital.cityofchicago.org/index.php/planet-lab/; https://digital.cityofchicago.org/index.php/rack-up/; https://digital.cityofchicago.org/index.php/recycle-tracker/; https://digital.cityofchicago.org/index.php/the-broadband-challenge/; https://digital.cityofchicago.org/index.php/apps-web/; https://digital.cityofchicago.org/index.php/highlights-from-2018/,facebook.com; plus.google.com; opengrid.io; twitter.com; digital.cityofchicago.org; techplan.cityofchicago.org; data.cityofchicago.org; servicetracker.cityofchicago.org; youtube.com; %20,No text found
6,,,https://digital.cityofchicago.org/index.php/tag/ccc/,False,False,False,0,,0,,40,https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/feed/; https://twitter.com/chicagosmayor; http://facebook.com/chicagomayorsoffice; http://www.youtube.com/user/ChicagoMayorsOffice; https://plus.google.com/u/0/104762238087668104653/posts; http://digital.cityofchicago.org; http://digital.cityofchicago.org/index.php/video-2/; http://techplan.cityofchicago.org; https://%20; https://data.cityofchicago.org; https://opengrid.io; https://%20; http://servicetracker.cityofchicago.org/; http://digital.cityofchicago.org/index.php/city-accounts; https://digital.cityofchicago.org/index.php/teaching-for-tomorrows-jobs/; https://digital.cityofchicago.org/index.php/teaching-for-tomorrows-jobs/; https://digital.cityofchicago.org/index.php/teaching-for-tomorrows-jobs/; https://twitter.com/ChicagosMayor; https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/wheelsenergytrash/; https://digital.cityofchicago.org/index.php/apps-android/; https://digital.cityofchicago.org/index.php/better-nrg/; https://digital.cityofchicago.org/index.php/built-it-bronzeville/; https://digital.cityofchicago.org/index.php/chicago-cleanweb-challenge/; https://digital.cityofchicago.org/index.php/city-accounts/; https://digital.cityofchicago.org/index.php/city-hall-in-your-community/; https://digital.cityofchicago.org/index.php/open-data-applications/; https://digital.cityofchicago.org/index.php/developer-resources/; https://digital.cityofchicago.org/index.php/gamify-energy/; https://digital.cityofchicago.org/index.php/hackathon-playoffs/; https://digital.cityofchicago.org/index.php/images/; https://digital.cityofchicago.org/index.php/apps-ios/; https://digital.cityofchicago.org/index.php/video-2/; https://digital.cityofchicago.org/index.php/planet-lab/; https://digital.cityofchicago.org/index.php/rack-up/; https://digital.cityofchicago.org/index.php/recycle-tracker/; https://digital.cityofchicago.org/index.php/the-broadband-challenge/; https://digital.cityofchicago.org/index.php/apps-web/; https://digital.cityofchicago.org/index.php/highlights-from-2018/,facebook.com; plus.google.com; opengrid.io; twitter.com; digital.cityofchicago.org; techplan.cityofchicago.org; data.cityofchicago.org; servicetracker.cityofchicago.org; youtube.com; %20,No text found
7,,ter Leagu,https://digital.cityofchicago.org/index.php/tag/the-starter-league/,False,False,False,0,,0,,40,https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/feed/; https://twitter.com/chicagosmayor; http://facebook.com/chicagomayorsoffice; http://www.youtube.com/user/ChicagoMayorsOffice; https://plus.google.com/u/0/104762238087668104653/posts; http://digital.cityofchicago.org; http://digital.cityofchicago.org/index.php/video-2/; http://techplan.cityofchicago.org; https://%20; https://data.cityofchicago.org; https://opengrid.io; https://%20; http://servicetracker.cityofchicago.org/; http://digital.cityofchicago.org/index.php/city-accounts; https://digital.cityofchicago.org/index.php/teaching-for-tomorrows-jobs/; https://digital.cityofchicago.org/index.php/teaching-for-tomorrows-jobs/; https://digital.cityofchicago.org/index.php/teaching-for-tomorrows-jobs/; https://twitter.com/ChicagosMayor; https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/wheelsenergytrash/; https://digital.cityofchicago.org/index.php/apps-android/; https://digital.cityofchicago.org/index.php/better-nrg/; https://digital.cityofchicago.org/index.php/built-it-bronzeville/; https://digital.cityofchicago.org/index.php/chicago-cleanweb-challenge/; https://digital.cityofchicago.org/index.php/city-accounts/; https://digital.cityofchicago.org/index.php/city-hall-in-your-community/; https://digital.cityofchicago.org/index.php/open-data-applications/; https://digital.cityofchicago.org/index.php/developer-resources/; https://digital.cityofchicago.org/index.php/gamify-energy/; https://digital.cityofchicago.org/index.php/hackathon-playoffs/; https://digital.cityofchicago.org/index.php/images/; https://digital.cityofchicago.org/index.php/apps-ios/; https://digital.cityofchicago.org/index.php/video-2/; https://digital.cityofchicago.org/index.php/planet-lab/; https://digital.cityofchicago.org/index.php/rack-up/; https://digital.cityofchicago.org/index.php/recycle-tracker/; https://digital.cityofchicago.org/index.php/the-broadband-challenge/; https://digital.cityofchicago.org/index.php/apps-web/; https://digital.cityofchicago.org/index.php/highlights-from-2018/,facebook.com; plus.google.com; opengrid.io; twitter.com; digital.cityofchicago.org; techplan.cityofchicago.org; data.cityofchicago.org; servicetracker.cityofchicago.org; youtube.com; %20,No text found
8,,,https://digital.cityofchicago.org/index.php/tag/microsoft/,False,False,False,0,,0,,40,https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/feed/; https://twitter.com/chicagosmayor; http://facebook.com/chicagomayorsoffice; http://www.youtube.com/user/ChicagoMayorsOffice; https://plus.google.com/u/0/104762238087668104653/posts; http://digital.cityofchicago.org; http://digital.cityofchicago.org/index.php/video-2/; http://techplan.cityofchicago.org; https://%20; https://data.cityofchicago.org; https://opengrid.io; https://%20; http://servicetracker.cityofchicago.org/; http://digital.cityofchicago.org/index.php/city-accounts; https://digital.cityofchicago.org/index.php/diversifying-the-tech-pipeline/; https://digital.cityofchicago.org/index.php/diversifying-the-tech-pipeline/; https://digital.cityofchicago.org/index.php/diversifying-the-tech-pipeline/; https://twitter.com/ChicagosMayor; https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/wheelsenergytrash/; https://digital.cityofchicago.org/index.php/apps-android/; https://digital.cityofchicago.org/index.php/better-nrg/; https://digital.cityofchicago.org/index.php/built-it-bronzeville/; https://digital.cityofchicago.org/index.php/chicago-cleanweb-challenge/; https://digital.cityofchicago.org/index.php/city-accounts/; https://digital.cityofchicago.org/index.php/city-hall-in-your-community/; https://digital.cityofchicago.org/index.php/open-data-applications/; https://digital.cityofchicago.org/index.php/developer-resources/; https://digital.cityofchicago.org/index.php/gamify-energy/; https://digital.cityofchicago.org/index.php/hackathon-playoffs/; https://digital.cityofchicago.org/index.php/images/; https://digital.cityofchicago.org/index.php/apps-ios/; https://digital.cityofchicago.org/index.php/video-2/; https://digital.cityofchicago.org/index.php/planet-lab/; https://digital.cityofchicago.org/index.php/rack-up/; https://digital.cityofchicago.org/index.php/recycle-tracker/; https://digital.cityofchicago.org/index.php/the-broadband-challenge/; https://digital.cityofchicago.org/index.php/apps-web/; https://digital.cityofchicago.org/index.php/highlights-from-2018/,facebook.com; plus.google.com; opengrid.io; twitter.com; digital.cityofchicago.org; techplan.cityofchicago.org; data.cityofchicago.org; servicetracker.cityofchicago.org; youtube.com; %20,No text found
9,,,https://digital.cityofchicago.org/index.php/tag/cta/,False,False,False,0,,0,,40,https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/feed/; https://twitter.com/chicagosmayor; http://facebook.com/chicagomayorsoffice; http://www.youtube.com/user/ChicagoMayorsOffice; https://plus.google.com/u/0/104762238087668104653/posts; http://digital.cityofchicago.org; http://digital.cityofchicago.org/index.php/video-2/; http://techplan.cityofchicago.org; https://%20; https://data.cityofchicago.org; https://opengrid.io; https://%20; http://servicetracker.cityofchicago.org/; http://digital.cityofchicago.org/index.php/city-accounts; https://digital.cityofchicago.org/index.php/city-hall-week-2413-21013/; https://digital.cityofchicago.org/index.php/city-hall-week-2413-21013/; https://digital.cityofchicago.org/index.php/city-hall-week-2413-21013/; https://twitter.com/ChicagosMayor; https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/wheelsenergytrash/; https://digital.cityofchicago.org/index.php/apps-android/; https://digital.cityofchicago.org/index.php/better-nrg/; https://digital.cityofchicago.org/index.php/built-it-bronzeville/; https://digital.cityofchicago.org/index.php/chicago-cleanweb-challenge/; https://digital.cityofchicago.org/index.php/city-accounts/; https://digital.cityofchicago.org/index.php/city-hall-in-your-community/; https://digital.cityofchicago.org/index.php/open-data-applications/; https://digital.cityofchicago.org/index.php/developer-resources/; https://digital.cityofchicago.org/index.php/gamify-energy/; https://digital.cityofchicago.org/index.php/hackathon-playoffs/; https://digital.cityofchicago.org/index.php/images/; https://digital.cityofchicago.org/index.php/apps-ios/; https://digital.cityofchicago.org/index.php/video-2/; https://digital.cityofchicago.org/index.php/planet-lab/; https://digital.cityofchicago.org/index.php/rack-up/; https://digital.cityofchicago.org/index.php/recycle-tracker/; https://digital.cityofchicago.org/index.php/the-broadband-challenge/; https://digital.cityofchicago.org/index.php/apps-web/; https://digital.cityofchicago.org/index.php/highlights-from-2018/,facebook.com; plus.google.com; opengrid.io; twitter.com; digital.cityofchicago.org; techplan.cityofchicago.org; data.cityofchicago.org; servicetracker.cityofchicago.org; youtube.com; %20,No text found
10,,,https://digital.cityofchicago.org/index.php/tag/austin/,False,False,False,0,,0,,40,https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/feed/; https://twitter.com/chicagosmayor; http://facebook.com/chicagomayorsoffice; http://www.youtube.com/user/ChicagoMayorsOffice; https://plus.google.com/u/0/104762238087668104653/posts; http://digital.cityofchicago.org; http://digital.cityofchicago.org/index.php/video-2/; http://techplan.cityofchicago.org; https://%20; https://data.cityofchicago.org; https://opengrid.io; https://%20; http://servicetracker.cityofchicago.org/; http://digital.cityofchicago.org/index.php/city-accounts; https://digital.cityofchicago.org/index.php/40374/; https://digital.cityofchicago.org/index.php/40374/; https://digital.cityofchicago.org/index.php/40374/; https://twitter.com/ChicagosMayor; https://digital.cityofchicago.org; https://digital.cityofchicago.org/index.php/wheelsenergytrash/; https://digital.cityofchicago.org/index.php/apps-android/; https://digital.cityofchicago.org/index.php/better-nrg/; https://digital.cityofchicago.org/index.php/built-it-bronzeville/; https://digital.cityofchicago.org/index.php/chicago-cleanweb-challenge/; https://digital.cityofchicago.org/index.php/city-accounts/; https://digital.cityofchicago.org/index.php/city-hall-in-your-community/; https://digital.cityofchicago.org/index.php/open-data-applications/; https://digital.cityofchicago.org/index.php/developer-resources/; https://digital.cityofchicago.org/index.php/gamify-energy/; https://digital.cityofchicago.org/index.php/hackathon-playoffs/; https://digital.cityofchicago.org/index.php/images/; https://digital.cityofchicago.org/index.php/apps-ios/; https://digital.cityofchicago.org/index.php/video-2/; https://digital.cityofchicago.org/index.php/planet-lab/; https://digital.cityofchicago.org/index.php/rack-up/; https://digital.cityofchicago.org/index.php/recycle-tracker/; https://digital.cityofchicago.org/index.php/the-broadband-challenge/; https://digital.cityofchicago.org/index.php/apps-web/; https://digital.cityofchicago.org/index.php/highlights-from-2018/,facebook.com; plus.google.com; opengrid.io; twitter.com; digital.cityofchicago.org; techplan.cityofchicago.org; data.cityofchicago.org; servicetracker.cityofchicago.org; youtube.com; %20,No text found
