,dept,title,url,button,i_want_to,nav,num_email_addresses,email_addresses,pdf_count,pdf_urls,ext_link_count,ext_links,description_words
1,,,https://www.cityofchicago.org/city/en.html,False,False,True,0,,0,,11,https://neighborhoodopportunityfund.com/; https://twitter.com/chicagosmayor; https://www.facebook.com/ChicagoMayorsOffice; https://www.instagram.com/chicagosmayor/; http://www.youtube.com/user/cityofchicagotv; http://digital.cityofchicago.org/index.php/video-2/; http://chicagoimagegallery.cityofchicago.org/; http://digital.cityofchicago.org/; https://soundcloud.com/chicagosmayor; http://mayorsphotogallery.cityofchicago.org/; https://data.cityofchicago.org,No text found
2,drs,Bid Job Opportunities,https://www.cityofchicago.org/city/en/depts/dhr/provdrs/emp/svcs/apply_for_bid_opportunities-forcityofchicagoemployeesandbargaini.html,True,False,True,0,,2,https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/BID_-_Create_User_Name_Email_Profile_REQs_4-09.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Candidate_Experience__v14_3-10.pdf,2,https://chicago.taleo.net/careersection/103/jobsearch.ftl; https://www.google.com/maps/dir/121+N+LaSalle+St%2C+Chicago%2C+IL%2C+60602,careers; bid; job; site; available; employees; represented; specific; unions; job; posting; site; states; union; individuals; must; represented; order; application; accepted; people; disabilities; require; reasonable; accommodation; file; application; contact; human; resources; tty; required; provide; information; regarding; request
3,ovdrs,Buildings E-Permits,https://www.cityofchicago.org/city/en/depts/bldgs/provdrs/stand_plan/svcs/e-permits.html,True,False,True,0,,0,,1,https://ipiweb.cityofchicago.org/DynamicPortal/Forms/Secure/Login.aspx,use; link; login; following; e-permitting; online; intake; appointment; scheduling; creating; permit; application
4,vdrs,Business Licenses,https://www.cityofchicago.org/city/en/depts/bacp/provdrs/bus/svcs/apply_for_a_businesslicenseonline.html,True,False,True,0,,0,,1,https://webapps1.cityofchicago.org/IRISWeb/login.jsp,small; business; center; sbc; issues; business; licenses; regulates; business; activities; industries; diverse; retail; food; liquor; establishments; entertainment; venues; theaters; day; care; centers; manufacturing; facilities; motor; vehicle; repair; shops; name; go; business; licensing; need; page; find; instructions; apply; business; license; online; in-person; complete; list; business; licenses; specific; business; license; application; requirements; click; get; started; online; button; access; business; license; application; system
5,ovdrs,Chicago Housing Authority (CHA) Housing,https://www.cityofchicago.org/city/en/depts/other/provdrs/cha/svcs/find_housing_information.html,False,False,True,0,,0,,1,http://www.thecha.org/residents/public-housing/find-public-housing/,largest; owner; rental; property; cha; offers; variety; housing; opportunities; low-income; families; senior; citizens; four; types; housing; mixed-income; developments; located; throughout; senior; apartments; scattered; site; housing; traditional; developments; information; various; types; properties
6,drs,Internships and Volunteer Programs,https://www.cityofchicago.org/city/en/depts/dhr/provdrs/emp/svcs/internships.html,True,False,True,0,,49,https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/FINAL_DRAFT_BAF_VOLUNTEER_INTERN_POSTING.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/FINAL_DRAFT_EAC_VOL_INTERN_POSTING.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/UNPAID_COMMUNITY_ENGAGEMENT_VOL_POSTING.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/UNPAID_DIGITAL_ANALYTICS_VOL_INTERN_POSTING.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/UNPAID_DIGITAL_VOL_INTERN_POSTING.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/UNPAID_PRESS_VOL_INTERN_POSTING.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/FINAL_DRAFT_POLICY_VOL_INTERN_POSTING.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/City_Treasurer_Unpaid_Internship_Posting_DRAFT.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Investigative_Internship_Description_Summary.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Legal_Internship_Description_Summary.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/general/PSI-Office_of_the_Chairman-COHR.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DCASE_Volunteer_Job_Posting_1-23-17.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DCASE_Volunteer_Application_Revised_1-2016.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DFSS_unpaid_posting_Contract_October_2014_Rev.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Family_Support_Serv_Human_Resources_Div.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Family_Support_Human_Service_Delivery.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Family_Support_Services_Policy_Advocacy_Upd_May.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Family__Support_Services_Senior_Services_PSI.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Family_Support_Youth_Services_Div.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/general/DFSS-Volunteer_Application.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DoITGIS_TECHNICAL_VOLUNTEER_Unpaid_2012.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DOiT_Innovation_and_Tech_Public_Admin_Intern.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Volunteer_Office_Intern.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Finance_Posting2.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Mayors_Office_International_Rel_Protocol_U_Intern.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Mayors_Office_Scheduling_Advance_UNPAID_Vol_Intern.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Mayors_Office_One_Good_Deed_Chicago_PI_Unpaid.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Press_Commun_unpaid_Vol_IntenPosting.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Mayors_Office_PHOTOGRAPHY_Vol_Intern_Unpaid.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Mayors_Office_Scheduling_Advance_UNPAID_Vol_Intern.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Mayors_Office_Sustainability_Volunteer_Unpaid.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Mayors_Office_Washington_DC_Office_PSI_Unpaid.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/CityofChicago_DCPolicyAssociateJobDescription.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Database_Developer_Intern.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Web_Developer_Intern.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Construction_and_Compliance_Division_Posting.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Finance_Internship_posting.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Internship_Posting_Historic_Preserv_Designations.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/general/DPD-PSI_Historic_Perservation_Division_Posting.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DPD-PSI_Historic_Perservation_Division_2.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DPD-PSI_Multi-Family_Finance_and_Housing_Pres.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DPD-PSI_Real_Estate.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/TIF_Admin.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/DPD-PSI_Workforce_Solutions_Division.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/CDPH-Volunteer_Posting-MICAH_Bureau_Fall_2018.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/Public_Health_Public_Service_Intern_Up.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/CDPH-PSI-Office_of_Epidemiology_Posting.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/CDPH-Volunteer_Office_of_Epidemiology_Posting.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Internships/CDPH-Public_Service_Intern_Posting_Policy_Office.pdf,2,https://chicago.taleo.net/careersection/100/jobsearch.ftl?lang=en; https://chicago.taleo.net/careersection/100/jobsearch.ftl?lang=en,new; student; intern; pool; addition; individual; internship; opportunities; listed; lower; portion; page; dhr; developed; new; innovative; student; intern; pool; new; process; allows; students; interested; gaining; valuable; municipal; government; experience; submit; profile; kept; pool; pre-qualified; candidates; consideration; available; positions; citywide; student; intern; pool; people; disabilities; require; reasonable; accommodation; file; application; contact; human; resources; tty; required; provide; information; regarding; request
7,drs,Employment with the City of Chicago,https://www.cityofchicago.org/city/en/depts/dhr/provdrs/emp/svcs/city_of_chicago_jobopportunities.html,True,False,True,0,,2,https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/Candidate_Experience__v14_3-10.pdf; https://www.cityofchicago.org/content/dam/city/depts/dhr/general/Preparing_for_City_of_Chicago_Employment_Tests.pdf,1,https://chicago.taleo.net/careersection/100/jobsearch.ftl?lang=en,welcome; careers; award; winning; online; job; application; site; careers; stands; automated; recruiting; evaluation; employment; reporting; system; unveiled; fall; careers; uses; latest; technology; make; applying; jobs; easy; efficient; search; job; opportunities; apply; one; multiple; positions; using; single; online; profile; careers; available; allows; users; search; employment; review; job; announcements; complete; candidate; profile; apply; open; positions; without; single; sheet; paper; click; link; need; help; navigating; online; careers; section; candidate; experience; guide; preparing; employment; tests; guide; test-takers; step; registerto; apply; position; careers; must; register; site; provide; personal; information; prepare; candidate; profile; search; available; job; opportunities; submit; applications; online; step; online; candidate; profileyour; online; candidate; profile; information; used; apply; multiple; positions; without; re-entering; information; submitting; application; online; may; required; scan; mail; certain; documents; resumes; transcripts; certifications; licenses; directly; human; resources; step; search; jobsafter; completing; online; candidate; profile; may; search; job; listings; open; positions; apply; online; position; announcement; includes; information; minimum; qualifications; duties; responsibilities; required; documentation; application; step; submit; applicationonce; registered; completed; online; candidate; profile; reviewed; available; positions; submit; applications; specific; jobs; application; process; requires; complete; application; questions; assess; candidacy; certain; positions; may; also; require; submit; additional; documents; continuing; review; instructions; helpful; hints; applying; jobs; using; careers; online; process; would; like; request; reasonable; accommodation; due; disability; pregnancy; order; participate; application; process; contact; human; resources; voice; tty; prepared; provide; information; support; reasonable; accommodation; request
8,ovdrs,"Link Card, Food Stamps and Medical Assistance",https://www.cityofchicago.org/city/en/depts/other/provdrs/soi/svcs/apply_for_link_cardfoodstampsandmedicalassistance.html,True,False,True,0,,0,,2,http://www.dhs.state.il.us/page.aspx?item=33698; http://www.dhs.state.il.us/page.aspx?item=30371,use; illinois; web; benefits; online; application; system; apply; snap; cash; medical; assistance; follow; instructions; first; page; application; process; complete; paper; application; get; information; services; state; illinois; web; site
9,ovdrs,Permit Parking Zone Lookup,https://www.cityofchicago.org/city/en/depts/other/provdrs/clerk/svcs/parking_permit_zonelookup.html,True,False,True,0,,0,,1,https://webapps1.cityofchicago.org/ezbuy/geoWardLookup.do,residents; look; residential; parking; permit; zone; online
10,vdrs,WIC (Women Infant Children program),https://www.cityofchicago.org/city/en/depts/cdph/provdrs/health_promotion/svcs/apply_for_wic_.html,False,False,True,0,,2,https://www.cityofchicago.org/content/dam/city/depts/cdph/tobacco_alchohol_and_drug_abuse/2016ChicagoOpioidReport.pdf; https://www.cityofchicago.org/content/dam/city/depts/cdph/clinic/general/WIC/ILWICGuidelines2012EngSpa.pdf,6,https://visitor.r20.constantcontact.com/manage/optin/ea?v=001jsw_pnV76tUmSNJOdEkYeA%253D%253D; http://www.cookcountyclerk.com/vitalrecords/Pages/default.aspx; https://servicerequest.cityofchicago.org/web_intake_chic/Controller; https://www.stopzikachicago.org/; https://www.cdc.gov/breastfeeding/; http://www.foodpyramid.com/,observance; thanksgiving; holiday; clinic; hours; subject; change; call; clinic; interested; visiting; verify; hours; operation; thanks; patience; wic-women; infant; children; federal; funded; program; implemented; public; health; provides; pregnant; breastfeeding; postpartum; women; children; infants; nutrition; assistance; wic; special; nutrition; program; assists; pregnant; breast-feeding; post-partum; women; infants; one; year; age; children; years; age; participants; must; low; income; nutritional; risk; apply; wic; benefits; bring; following; wic; location; two; current; paycheck; stubs; public; aid; card; birth; certificate; shot; records; child; picture; id/social; security; card; current; bill; mail; health; referral; form; completed; health; care; provider; qualify; wic; must; meet; income; guidelines; wic; benefits; nutrition; counseling; free; breastfeeding; counseling; monthly; checks; items; milk; eggs; cereal; cheese; produce; infants; receive; infant; formula; get; older; cereal; baby; food; contact; one; wic; locations; near; get; started; click; view; list; wic; locations; information; call; public; health
11,,I Want To...,https://www.cityofchicago.org/city/en/svcs/iwantto.apply_for.html,False,True,True,0,,0,,0,,No text found
12,provdrs,Check Status of Abandoned Vehicle Complaint,https://www.cityofchicago.org/city/en/depts/streets/provdrs/traffic/svcs/abndvhclstatus.html,True,False,True,0,,0,,1,http://servicetracker.cityofchicago.org,welcome; service; tracker; enter; service; request; number; check; status; abandoned; vehicle; complaint
13,ovdrs,Building Permit Status,https://www.cityofchicago.org/city/en/depts/bldgs/provdrs/stand_plan/svcs/building_permit_status.html,True,False,True,0,,0,,1,https://webapps1.cityofchicago.org/buildingpermit,check; permit; status; following; link
14,ovdrs,Building Violations,https://www.cityofchicago.org/city/en/depts/bldgs/provdrs/inspect/svcs/building_violationsonline.html,True,False,True,0,,0,,1,https://webapps1.cityofchicago.org/buildingviolations/violations/agreement.html,look; building; violations; address; clicking; button
15,ovdrs,Building-Related Court Actions,https://www.cityofchicago.org/city/en/depts/bldgs/provdrs/inspect/svcs/building-relatedcourtactions.html,True,False,True,0,,0,,1,https://webapps1.cityofchicago.org/BRCAWeb/org/cityofchicago/brca/controller/search/begin.do,one; search; information; building-related; court; action; search; using; link; one; search; means; court; case; number; street; address; zip; code; defendant; licensee; ward; police; district; combination
